,title,handle,created,product_type,price,sku,available,image
228,MAIA - MYSA - BOTTOM,maia-mysa-bottom,2021-05-24T19:32:09+08:00,Bottoms,0.00,MAIMYSBBOTXL,True,"{'id': 28032255721568, 'created_at': '2021-05-24T19:32:09+08:00', 'position': 2, 'updated_at': '2021-05-24T19:32:09+08:00', 'product_id': 6555594915936, 'variant_ids': [], 'src': 'https://cdn.shopify.com/s/files/1/0312/1385/products/2.MAIA_MYSA_FRONT.jpg?v=1621855929', 'width': 1400, 'height': 1786}"
229,MACI - ARLES RIB,maci-arles-rib,2021-05-06T20:07:35+08:00,Swimwear,89.00,MACARLTOPXL,True,"{'id': 28005716263008, 'created_at': '2021-05-06T20:07:36+08:00', 'position': 11, 'updated_at': '2021-05-06T20:07:36+08:00', 'product_id': 6551993679968, 'variant_ids': [], 'src': 'https://cdn.shopify.com/s/files/1/0312/1385/products/11.MACI_ARLESRIB_HOVER.jpg?v=1620302856', 'width': 1400, 'height': 1786}"
230,MACI - ARLES RIB - BOTTOM,maci-arles-rib-bottom,2021-05-06T20:07:24+08:00,Bottoms,0.00,MACARLBBOTXL,True,"{'id': 28005715771488, 'created_at': '2021-05-06T20:07:24+08:00', 'position': 2, 'updated_at': '2021-05-06T20:07:24+08:00', 'product_id': 6551993647200, 'variant_ids': [], 'src': 'https://cdn.shopify.com/s/files/1/0312/1385/products/2.MACI_ARLESRIB_FRONT_47a1be59-0d1c-45df-9b09-d88ed07e96a3.jpg?v=1620302844', 'width': 1400, 'height': 1786}"
231,MAIA - ANTARES - BOTTOM,maia-antares-bottom,2021-05-06T19:54:58+08:00,Bottoms,0.00,MAIANABBOTXL,True,"{'id': 28005695979616, 'created_at': '2021-05-06T19:54:58+08:00', 'position': 2, 'updated_at': '2021-05-06T19:54:58+08:00', 'product_id': 6551992664160, 'variant_ids': [], 'src': 'https://cdn.shopify.com/s/files/1/0312/1385/products/2.MAIA_ANATARES_FRONT.jpg?v=1620302098', 'width': 1400, 'height': 1786}"
232,MAIA - ANTARES,maia-antares,2021-05-06T19:54:54+08:00,Swimwear,99.00,MAIANATOPXL,True,"{'id': 28005695881312, 'created_at': '2021-05-06T19:54:55+08:00', 'position': 11, 'updated_at': '2021-05-06T19:54:55+08:00', 'product_id': 6551992631392, 'variant_ids': [], 'src': 'https://cdn.shopify.com/s/files/1/0312/1385/products/11.MAIA_ANTARES_HOVER.jpg?v=1620302095', 'width': 1400, 'height': 1786}"
233,MAIA - PEARL,maia-pearl,2021-05-06T19:31:37+08:00,Swimwear,99.00,MAIPEATOPXL,True,"{'id': 28005687230560, 'created_at': '2021-05-06T19:31:37+08:00', 'position': 11, 'updated_at': '2021-05-06T19:31:37+08:00', 'product_id': 6551987650656, 'variant_ids': [], 'src': 'https://cdn.shopify.com/s/files/1/0312/1385/products/10.MAIA_PEARL_HOVER.jpg?v=1620300697', 'width': 1400, 'height': 1786}"
234,MAIA - PEARL - BOTTOM,maia-pearl-bottom,2021-05-06T19:31:24+08:00,Bottoms,0.00,MAIPEABBOTXL,True,"{'id': 28005686870112, 'created_at': '2021-05-06T19:31:24+08:00', 'position': 2, 'updated_at': '2021-05-06T19:31:24+08:00', 'product_id': 6551987617888, 'variant_ids': [], 'src': 'https://cdn.shopify.com/s/files/1/0312/1385/products/2.MAIA_PEARL_FRONTcopy.jpg?v=1620300684', 'width': 1400, 'height': 1786}"
235,GRETA - VIOLET SPARKLE,greta-violet-sparkle,2021-03-08T19:44:30+08:00,Swimwear,89.00,GREVIOTOPXL,False,"{'id': 27938907914336, 'created_at': '2021-03-08T19:44:30+08:00', 'position': 9, 'updated_at': '2021-03-11T16:50:40+08:00', 'product_id': 6537808052320, 'variant_ids': [], 'src': 'https://cdn.shopify.com/s/files/1/0312/1385/products/5.GRETA_VIOLETSPARKLE_HOVER.jpg?v=1615452640', 'width': 1400, 'height': 1786}"
236,GRETA - VIOLET SPARKLE - BOTTOM,greta-violet-sparkle-bottom,2021-03-08T19:44:24+08:00,Bottoms,0.00,GREVIOBOTXL,False,"{'id': 27938907750496, 'created_at': '2021-03-08T19:44:24+08:00', 'position': 2, 'updated_at': '2021-03-08T19:44:24+08:00', 'product_id': 6537808019552, 'variant_ids': [], 'src': 'https://cdn.shopify.com/s/files/1/0312/1385/products/2.GRETA_VIOLETSPARKLE_BACK.jpg?v=1615203864', 'width': 1400, 'height': 1786}"
237,MACI - NEON POP,maci-neon-pop,2021-03-08T19:44:02+08:00,Swimwear,89.00,MACNEOTOPXL,True,"{'id': 28125722607712, 'created_at': '2021-08-27T14:28:41+08:00', 'position': 12, 'updated_at': '2021-08-27T14:29:22+08:00', 'product_id': 6537807855712, 'variant_ids': [], 'src': 'https://cdn.shopify.com/s/files/1/0312/1385/products/MACI_NEONPOP_HOVER.jpg?v=1630045762', 'width': 1400, 'height': 1786}"
